name,line,over,under
Paul George Steals + Blocks,0.5,-252,167
Paul George Turnovers,1.5,-202,138
Paul Reed Turnovers,0.5,477,-1100
Reggie Jackson Points,8.5,-155.5,112.5
Reggie Jackson Rebounds,1.5,105.5,-145.5
Reggie Jackson Assists,2.5,-146,105.5
Reggie Jackson Points + Rebounds + Assists,17.5,-105,-125
Reggie Jackson Points + Rebounds,10.5,-118,-122
Reggie Jackson Points + Assists,11.5,-140,-103
Reggie Jackson Rebounds + Assists,4.5,107,-154
Reggie Jackson Three Points Made,0.5,-172,119
Reggie Jackson Blocks,0.5,453,-1000
Reggie Jackson Steals,0.5,150,-222
Reggie Jackson Steals + Blocks,0.5,111,-160
Reggie Jackson Turnovers,1.5,119,-172
Robert Covington Three Points Made,0.5,499,-1200
Robert Covington Turnovers,0.5,477,-1100
Shake Milton Points,8.5,-115.5,-119.5
Shake Milton Points + Rebounds + Assists,13.5,-120,-120
Shake Milton Points + Rebounds,10.5,-151,105
Shake Milton Points + Assists,10.5,-138,-104
Shake Milton Rebounds + Assists,5.5,107,-154
Shake Milton Three Points Made,0.5,144,-212
Shake Milton Turnovers,0.5,-104,-138
Shake Milton Assists,1.5,100,-132
Terance Mann Three Points Made,1.5,156,-232
Terance Mann Turnovers,0.5,-116,-124
Terance Mann Points,6.5,-152,114
Terance Mann Rebounds,2.5,-180,134
Tobias Harris Points,15.5,-118.8,-67.6
Tobias Harris Rebounds,5.5,-90,-111.1428571
Tobias Harris Assists,2.5,135.4,-174.8
Tobias Harris Points + Rebounds + Assists,23.5,-119,-107.5
Tobias Harris Points + Rebounds,19.5,-134,-107
Tobias Harris Points + Assists,17.5,-120,-120
Tobias Harris Rebounds + Assists,8.5,-9,-126
Tobias Harris Three Points Made,2.5,156.4,-208.4
Tobias Harris Blocks,0.5,246,-402
Tobias Harris Steals,0.5,-110,-130
Tobias Harris Steals + Blocks,0.5,-187,128
Tobias Harris Turnovers,0.5,-126,-114
Admiral Schofield Three Points Made,0.5,477,-1100
Admiral Schofield Turnovers,0.5,412,-850
Bol Bol Points,9.5,-117.2,-108.8
Bol Bol Rebounds,6.5,106.4,-134.4
Bol Bol Assists,0.5,-166,115
Bol Bol Points + Rebounds + Assists,17.5,-112,-113.5
Bol Bol Points + Rebounds,16.5,-105,-125
Bol Bol Points + Assists,21.5,-103,-140
Bol Bol Rebounds + Assists,6.5,-154,107
Bol Bol Three Points Made,2.5,156,-232
Bol Bol Blocks,1.5,-160,111
Bol Bol Steals,1.5,156,-232
Bol Bol Steals + Blocks,3.5,144,-212
Bol Bol Turnovers,1.5,-160,111
Charles Bassey Turnovers,0.5,499,-1200
Cole Anthony Points,10.5,-132,-37
Cole Anthony Rebounds,3.5,-161,49.33333333
Cole Anthony Assists,3.5,10.5,-156
Cole Anthony Points + Rebounds + Assists,17.5,-126.5,-109.5
Cole Anthony Points + Rebounds,14.5,-17.5,-119
Cole Anthony Points + Assists,13.5,-138,-104
Cole Anthony Rebounds + Assists,6.5,-163,113
Cole Anthony Three Points Made,1.5,-118,-122
Cole Anthony Turnovers,1.5,-182,125
Devin Vassell Assists,2.5,-167.4285714,128.4285714
Devin Vassell Points,18.5,-80.83333333,-79.16666667
Devin Vassell Steals + Blocks,2.5,-212,144
Devin Vassell Rebounds,4.5,18.2,-125.4
Devin Vassell Points + Rebounds + Assists,26.5,-106,-120.5
Devin Vassell Points + Assists,21.5,-110,-120
Devin Vassell Points + Rebounds,21.5,-140,-103
Devin Vassell Rebounds + Assists,5.5,-122,-118
Devin Vassell Three Points Made,2.5,-107,-119.5
Devin Vassell Blocks,0.5,291,-502
Devin Vassell Steals,2.5,-138,-104
Devin Vassell Turnovers,0.5,-192,131
Doug McDermott Points,8.5,-115,-115
Doug McDermott Points + Rebounds,13.5,105,-151
Doug McDermott Three Points Made,2.5,-212,144
Doug McDermott Turnovers,0.5,125,-182
Franz Wagner Points,18.5,-114.8571429,-114.2857143
Franz Wagner Assists,2.5,-108.2,-119
Franz Wagner Rebounds,3.5,-161.8,126.2
Franz Wagner Points + Rebounds + Assists,25.5,-112.8,-113.2
Franz Wagner Points + Assists,21.5,-115,-115
Franz Wagner Points + Rebounds,21.5,-107,-134
Franz Wagner Rebounds + Assists,6.5,-111,-124.5
Franz Wagner Three Points Made,1.5,103,-129.5
Franz Wagner Steals + Blocks,0.5,-136,-106
Franz Wagner Blocks,0.5,321,-577
Franz Wagner Steals,0.5,115,-166
Franz Wagner Turnovers,2.5,156,-232
Gary Harris Three Points Made,0.5,-114,-126
Gary Harris Turnovers,1.5,184,-282
Gary Harris Points,6.5,-105,-115
Isaiah Roby Turnovers,0.5,499,-1200
Jakob Poeltl Points,10.5,-122.8,-24
Jakob Poeltl Rebounds,8.5,21.4,-129.4
Jakob Poeltl Points + Rebounds,19.5,-105,-125
Jakob Poeltl Assists,1.5,134,-197
Jakob Poeltl Points + Rebounds + Assists,21.5,-113.5,-112
Jakob Poeltl Points + Assists,9.5,-134,-107
Jakob Poeltl Rebounds + Assists,7.5,-107,-134
Jakob Poeltl Blocks,1.5,-142,-101
Jakob Poeltl Steals,0.5,156,-232
Jakob Poeltl Steals + Blocks,2.5,156,-232
Jakob Poeltl Turnovers,0.5,-197,134
Jakob Poeltl Three Points Made,0.5,2500,-1000000
Jeremy Sochan Points,9.5,-40.16666667,-120.8333333
Jeremy Sochan Rebounds,4.5,-130.6,63
Jeremy Sochan Points + Rebounds,18.5,-151,105
Jeremy Sochan Assists,4.5,-120,-120
Jeremy Sochan Points + Rebounds + Assists,16.5,-116,-110
Jeremy Sochan Points + Assists,15.5,-116,-124
Jeremy Sochan Rebounds + Assists,12.5,-138,-104
Jeremy Sochan Three Points Made,0.5,195,-302
Jeremy Sochan Blocks,0.5,156,-232
Jeremy Sochan Steals,0.5,122,-177
Jeremy Sochan Steals + Blocks,0.5,-182,125
Jeremy Sochan Turnovers,1.5,-222,150
Josh Richardson Points,8.5,-122,-60
Josh Richardson Points + Rebounds + Assists,12.5,-104,-138
Josh Richardson Points + Rebounds,11.5,-104,-138
Josh Richardson Points + Assists,11.5,113,-163
Josh Richardson Three Points Made,0.5,-163,113
Josh Richardson Turnovers,0.5,-120,-120
Keita Bates-Diop Three Points Made,0.5,477,-1100
Keita Bates-Diop Turnovers,0.5,365,-700
Keldon Johnson Points,20.5,-121.6,-106
Keldon Johnson Rebounds,5.5,18.2,-126.2
Keldon Johnson Steals + Blocks,1.5,-132,-109
Keldon Johnson Three Points Made,2.5,115,-148
Keldon Johnson Points + Rebounds,25.5,-120,-110
Keldon Johnson Assists,2.5,-104,-138
Keldon Johnson Points + Rebounds + Assists,28.5,-125,100
Keldon Johnson Points + Assists,26.5,101,-145
Keldon Johnson Rebounds + Assists,7.5,111,-160
Keldon Johnson Blocks,0.5,453,-1000
Keldon Johnson Steals,1.5,103,-148
Keldon Johnson Turnovers,2.5,122,-177
Kevon Harris Three Points Made,0.5,499,-1200
Kevon Harris Turnovers,0.5,477,-1100
Malaki Branham Three Points Made,0.5,138,-202
Malaki Branham Turnovers,0.5,138,-202
Markelle Fultz Points,12.5,-115.4,-111.4
Markelle Fultz Assists,5.5,-126.8,-21.6
Markelle Fultz Rebounds,3.5,-130.4,62.4
Markelle Fultz Points + Rebounds + Assists,22.5,-111,-118.3333333
Markelle Fultz Points + Assists,17.5,-114,-126
Markelle Fultz Points + Rebounds,16.5,-106.5,-130
Markelle Fultz Rebounds + Assists,9.5,-100,-130
Markelle Fultz Steals + Blocks,1.5,-177,122
Markelle Fultz Three Points Made,0.5,226,-362
Markelle Fultz Blocks,0.5,340,-627
Markelle Fultz Steals,1.5,-126,-114
Markelle Fultz Turnovers,2.5,111,-160
Mo Bamba Points + Rebounds + Assists,12.5,-126,-114
Mo Bamba Three Points Made,0.5,111,-160
Mo Bamba Rebounds,4.5,-128,-112
Mo Bamba Points + Rebounds,10.5,-124,-116
Mo Bamba Rebounds + Assists,5.5,-120,-120
Mo Bamba Turnovers,0.5,184,-282
Moritz Wagner Points,11.5,-115,-119
Moritz Wagner Rebounds,9.5,127,-177.5
Moritz Wagner Assists,1.5,162,-242
